digit1,digit2,subsample_size,rejection_cost,n_total,n_train,n_test,n_rejected,accuracy_sem_rej,accuracy_com_rej,rejection_rate,t_plus,t_minus,zona_rejeicao,tempo_segundos,sucesso,erro
4,9,0.03,0.15,413,289,124,0,0.9516129032258065,0.9596774193548387,0.0,0.40593010346295333,0.40593010346295333,0.0,5.079412221908569,True,
4,9,0.03,0.18,413,289,124,0,0.9516129032258065,0.9596774193548387,0.0,0.40593010346295333,0.40593010346295333,0.0,4.6686248779296875,True,
4,9,0.03,0.2,413,289,124,0,0.9516129032258065,0.9596774193548387,0.0,0.40593010346295333,0.40593010346295333,0.0,4.870361804962158,True,
4,9,0.03,0.24,413,289,124,0,0.9516129032258065,0.9596774193548387,0.0,0.40593010346295333,0.40593010346295333,0.0,4.517645359039307,True,
4,9,0.05,0.15,689,482,207,0,0.9420289855072463,0.9420289855072463,0.0,-0.10194551647391395,-0.10194551647391395,0.0,4.4511473178863525,True,
4,9,0.05,0.18,689,482,207,0,0.9420289855072463,0.9420289855072463,0.0,-0.10194551647391395,-0.10194551647391395,0.0,4.871345281600952,True,
4,9,0.05,0.2,689,482,207,0,0.9420289855072463,0.9420289855072463,0.0,-0.10194551647391395,-0.10194551647391395,0.0,4.9278786182403564,True,
4,9,0.05,0.24,689,482,207,0,0.9420289855072463,0.9420289855072463,0.0,-0.10194551647391395,-0.10194551647391395,0.0,4.398396015167236,True,
4,9,0.08,0.15,1102,771,331,10,0.9395770392749244,0.9439252336448598,0.030211480362537766,-0.047827259111646606,-0.6957605285026222,0.6479332693909755,4.329312801361084,True,
4,9,0.08,0.18,1102,771,331,10,0.9395770392749244,0.9439252336448598,0.030211480362537766,-0.047827259111646606,-0.6957605285026222,0.6479332693909755,4.362926483154297,True,
4,9,0.08,0.2,1102,771,331,10,0.9395770392749244,0.9439252336448598,0.030211480362537766,-0.047827259111646606,-0.6957605285026222,0.6479332693909755,4.102150201797485,True,
4,9,0.08,0.24,1102,771,331,10,0.9395770392749244,0.9439252336448598,0.030211480362537766,-0.047827259111646606,-0.6957605285026222,0.6479332693909755,4.1629321575164795,True,
4,9,0.1,0.15,1378,964,414,14,0.9444444444444444,0.955,0.033816425120772944,0.753124724671533,-0.691937256391724,1.445061981063257,4.0942418575286865,True,
4,9,0.1,0.18,1378,964,414,14,0.9444444444444444,0.955,0.033816425120772944,0.753124724671533,-0.691937256391724,1.445061981063257,3.996677875518799,True,
4,9,0.1,0.2,1378,964,414,14,0.9444444444444444,0.955,0.033816425120772944,0.753124724671533,-0.691937256391724,1.445061981063257,4.0404884815216064,True,
4,9,0.1,0.24,1378,964,414,14,0.9444444444444444,0.955,0.033816425120772944,0.753124724671533,-0.691937256391724,1.445061981063257,4.204463481903076,True,
3,8,0.03,0.15,418,292,126,14,0.9444444444444444,0.9732142857142857,0.1111111111111111,1.4557218493355222,-1.4647368690841818,2.920458718419704,4.390813589096069,True,
3,8,0.03,0.18,418,292,126,14,0.9444444444444444,0.9732142857142857,0.1111111111111111,1.4557218493355222,-1.4647368690841818,2.920458718419704,3.835392951965332,True,
3,8,0.03,0.2,418,292,126,14,0.9444444444444444,0.9732142857142857,0.1111111111111111,1.4557218493355222,-1.4647368690841818,2.920458718419704,3.8115663528442383,True,
3,8,0.03,0.24,418,292,126,14,0.9444444444444444,0.9732142857142857,0.1111111111111111,1.4557218493355222,-1.4647368690841818,2.920458718419704,3.761845588684082,True,
3,8,0.05,0.15,698,488,210,9,0.9666666666666667,0.9900497512437811,0.04285714285714286,1.0482274632019892,-0.8820961562597972,1.9303236194617863,3.825173854827881,True,
3,8,0.05,0.18,698,488,210,9,0.9666666666666667,0.9900497512437811,0.04285714285714286,1.0482274632019892,-0.8820961562597972,1.9303236194617863,4.397400617599487,True,
3,8,0.05,0.2,698,488,210,9,0.9666666666666667,0.9900497512437811,0.04285714285714286,1.0482274632019892,-0.8820961562597972,1.9303236194617863,3.9818716049194336,True,
3,8,0.05,0.24,698,488,210,0,0.9666666666666667,0.9523809523809523,0.0,1.0482274632019892,1.0482274632019892,0.0,4.013946771621704,True,
3,8,0.08,0.15,1117,781,336,12,0.9732142857142857,0.9753086419753086,0.03571428571428571,1.2895552255513594,-1.167489740291102,2.4570449658424613,4.053889751434326,True,
3,8,0.08,0.18,1117,781,336,12,0.9732142857142857,0.9753086419753086,0.03571428571428571,1.2895552255513594,-1.167489740291102,2.4570449658424613,3.8920843601226807,True,
3,8,0.08,0.2,1117,781,336,12,0.9732142857142857,0.9753086419753086,0.03571428571428571,1.2895552255513594,-1.167489740291102,2.4570449658424613,3.853400707244873,True,
3,8,0.08,0.24,1117,781,336,12,0.9732142857142857,0.9753086419753086,0.03571428571428571,1.2895552255513594,-1.167489740291102,2.4570449658424613,3.901257276535034,True,
3,8,0.1,0.15,1396,977,419,18,0.9474940334128878,0.9675810473815462,0.04295942720763723,1.0949777147934758,-0.9054806426284306,2.0004583574219064,3.8639373779296875,True,
3,8,0.1,0.18,1396,977,419,18,0.9474940334128878,0.9675810473815462,0.04295942720763723,1.0949777147934758,-0.9054806426284306,2.0004583574219064,3.93485164642334,True,
3,8,0.1,0.2,1396,977,419,18,0.9474940334128878,0.9675810473815462,0.04295942720763723,1.0949777147934758,-0.9054806426284306,2.0004583574219064,4.0262861251831055,True,
3,8,0.1,0.24,1396,977,419,18,0.9474940334128878,0.9675810473815462,0.04295942720763723,1.0949777147934758,-0.9054806426284306,2.0004583574219064,3.874498128890991,True,
5,6,0.03,0.15,395,276,119,7,0.9495798319327731,0.9821428571428571,0.058823529411764705,2.1445871756076285,-1.7111565332837588,3.8557437088913873,3.802717447280884,True,
5,6,0.03,0.18,395,276,119,7,0.9495798319327731,0.9821428571428571,0.058823529411764705,2.1445871756076285,-1.7111565332837588,3.8557437088913873,3.7392868995666504,True,
5,6,0.03,0.2,395,276,119,7,0.9495798319327731,0.9821428571428571,0.058823529411764705,2.1445871756076285,-1.7111565332837588,3.8557437088913873,3.849256753921509,True,
5,6,0.03,0.24,395,276,119,7,0.9495798319327731,0.9821428571428571,0.058823529411764705,2.1445871756076285,-1.7111565332837588,3.8557437088913873,3.781799077987671,True,
5,6,0.05,0.15,659,461,198,12,0.9696969696969697,0.9838709677419355,0.06060606060606061,1.9353800582925145,-0.9605333456674154,2.8959134039599297,3.8862624168395996,True,
5,6,0.05,0.18,659,461,198,12,0.9696969696969697,0.9838709677419355,0.06060606060606061,1.9353800582925145,-0.9605333456674154,2.8959134039599297,3.9906229972839355,True,
5,6,0.05,0.2,659,461,198,0,0.9696969696969697,0.9545454545454546,0.0,-0.9605333456674154,-0.9605333456674154,0.0,3.9219391345977783,True,
5,6,0.05,0.24,659,461,198,0,0.9696969696969697,0.9545454545454546,0.0,-0.9605333456674154,-0.9605333456674154,0.0,3.9545791149139404,True,
5,6,0.08,0.15,1055,738,317,15,0.9684542586750788,0.9867549668874173,0.0473186119873817,1.6143570281226303,-1.4396253849053064,3.0539824130279367,3.842522382736206,True,
5,6,0.08,0.18,1055,738,317,15,0.9684542586750788,0.9867549668874173,0.0473186119873817,1.6143570281226303,-1.4396253849053064,3.0539824130279367,3.9478843212127686,True,
5,6,0.08,0.2,1055,738,317,15,0.9684542586750788,0.9867549668874173,0.0473186119873817,1.6143570281226303,-1.4396253849053064,3.0539824130279367,3.8760311603546143,True,
5,6,0.08,0.24,1055,738,317,15,0.9684542586750788,0.9867549668874173,0.0473186119873817,1.6143570281226303,-1.4396253849053064,3.0539824130279367,3.8739259243011475,True,
5,6,0.1,0.15,1318,922,396,17,0.9621212121212122,0.978891820580475,0.04292929292929293,1.2861158411814402,-0.919745191528782,2.205861032710222,3.875755548477173,True,
5,6,0.1,0.18,1318,922,396,17,0.9621212121212122,0.978891820580475,0.04292929292929293,1.2861158411814402,-0.919745191528782,2.205861032710222,3.9245805740356445,True,
5,6,0.1,0.2,1318,922,396,17,0.9621212121212122,0.978891820580475,0.04292929292929293,1.2861158411814402,-0.919745191528782,2.205861032710222,3.8447718620300293,True,
5,6,0.1,0.24,1318,922,396,17,0.9621212121212122,0.978891820580475,0.04292929292929293,1.2861158411814402,-0.919745191528782,2.205861032710222,3.896338701248169,True,
7,9,0.03,0.15,427,298,129,6,0.9069767441860465,0.926829268292683,0.046511627906976744,0.6863133770718546,-0.7513119410851405,1.4376253181569951,3.830049514770508,True,
7,9,0.03,0.18,427,298,129,6,0.9069767441860465,0.926829268292683,0.046511627906976744,0.6863133770718546,-0.7513119410851405,1.4376253181569951,3.7792885303497314,True,
7,9,0.03,0.2,427,298,129,6,0.9069767441860465,0.926829268292683,0.046511627906976744,0.6863133770718546,-0.7513119410851405,1.4376253181569951,4.17620325088501,True,
7,9,0.03,0.24,427,298,129,6,0.9069767441860465,0.926829268292683,0.046511627906976744,0.6863133770718546,-0.7513119410851405,1.4376253181569951,3.8573453426361084,True,
7,9,0.05,0.15,712,498,214,5,0.9299065420560748,0.937799043062201,0.02336448598130841,0.8723214836839993,-0.5651795200437026,1.4375010037277018,4.132258892059326,True,
7,9,0.05,0.18,712,498,214,5,0.9299065420560748,0.937799043062201,0.02336448598130841,0.8723214836839993,-0.5651795200437026,1.4375010037277018,3.9592108726501465,True,
7,9,0.05,0.2,712,498,214,5,0.9299065420560748,0.937799043062201,0.02336448598130841,0.8723214836839993,-0.5651795200437026,1.4375010037277018,3.929175853729248,True,
7,9,0.05,0.24,712,498,214,5,0.9299065420560748,0.937799043062201,0.02336448598130841,0.37401322177734275,-0.5651795200437026,0.9391927418210454,3.9389028549194336,True,
7,9,0.08,0.15,1140,798,342,19,0.9473684210526315,0.9566563467492261,0.05555555555555555,0.8767328678862939,-0.39324278456732714,1.269975652453621,3.876176118850708,True,
7,9,0.08,0.18,1140,798,342,19,0.9473684210526315,0.9566563467492261,0.05555555555555555,0.8767328678862939,-0.39324278456732714,1.269975652453621,3.8362326622009277,True,
7,9,0.08,0.2,1140,798,342,19,0.9473684210526315,0.9566563467492261,0.05555555555555555,0.8767328678862939,-0.39324278456732714,1.269975652453621,3.904292583465576,True,
7,9,0.08,0.24,1140,798,342,19,0.9473684210526315,0.9566563467492261,0.05555555555555555,0.8767328678862939,-0.39324278456732714,1.269975652453621,3.8596575260162354,True,
7,9,0.1,0.15,1425,997,428,20,0.9322429906542056,0.9534313725490197,0.04672897196261682,0.8875788518216826,-0.6269298278340678,1.5145086796557505,3.858461856842041,True,
7,9,0.1,0.18,1425,997,428,20,0.9322429906542056,0.9534313725490197,0.04672897196261682,0.8875788518216826,-0.6269298278340678,1.5145086796557505,3.803389310836792,True,
7,9,0.1,0.2,1425,997,428,20,0.9322429906542056,0.9534313725490197,0.04672897196261682,0.8875788518216826,-0.6269298278340678,1.5145086796557505,3.9052205085754395,True,
7,9,0.1,0.24,1425,997,428,8,0.9322429906542056,0.9428571428571428,0.018691588785046728,0.22919229358866808,-0.6269298278340678,0.8561221214227359,3.904740810394287,True,
3,5,0.03,0.15,403,282,121,11,0.8925619834710744,0.9272727272727272,0.09090909090909091,1.1277336735151815,-1.3110320830086524,2.438765756523834,3.7888970375061035,True,
3,5,0.03,0.18,403,282,121,11,0.8925619834710744,0.9272727272727272,0.09090909090909091,1.1277336735151815,-1.3110320830086524,2.438765756523834,3.8566689491271973,True,
3,5,0.03,0.2,403,282,121,11,0.8925619834710744,0.9272727272727272,0.09090909090909091,1.1277336735151815,-1.3110320830086524,2.438765756523834,3.7480664253234863,True,
3,5,0.03,0.24,403,282,121,11,0.8925619834710744,0.9272727272727272,0.09090909090909091,1.1277336735151815,-1.3110320830086524,2.438765756523834,3.9695584774017334,True,
3,5,0.05,0.15,672,470,202,13,0.9207920792079208,0.9576719576719577,0.06435643564356436,0.9825907397343984,-1.1082952320780952,2.0908859718124937,3.9880857467651367,True,
3,5,0.05,0.18,672,470,202,13,0.9207920792079208,0.9576719576719577,0.06435643564356436,0.9825907397343984,-1.1082952320780952,2.0908859718124937,3.840911865234375,True,
3,5,0.05,0.2,672,470,202,13,0.9207920792079208,0.9576719576719577,0.06435643564356436,0.9825907397343984,-1.1082952320780952,2.0908859718124937,3.8624091148376465,True,
3,5,0.05,0.24,672,470,202,13,0.9207920792079208,0.9576719576719577,0.06435643564356436,0.9825907397343984,-1.1082952320780952,2.0908859718124937,3.871793746948242,True,
3,5,0.08,0.15,1076,753,323,19,0.9411764705882353,0.9539473684210527,0.058823529411764705,1.034787560110625,-1.01528220419841,2.050069764309035,3.995429277420044,True,
3,5,0.08,0.18,1076,753,323,19,0.9411764705882353,0.9539473684210527,0.058823529411764705,1.034787560110625,-1.01528220419841,2.050069764309035,3.946223258972168,True,
3,5,0.08,0.2,1076,753,323,19,0.9411764705882353,0.9539473684210527,0.058823529411764705,1.034787560110625,-1.01528220419841,2.050069764309035,3.8899972438812256,True,
3,5,0.08,0.24,1076,753,323,19,0.9411764705882353,0.9539473684210527,0.058823529411764705,1.034787560110625,-1.01528220419841,2.050069764309035,3.9028782844543457,True,
3,5,0.1,0.15,1345,941,404,18,0.9529702970297029,0.9715025906735751,0.04455445544554455,0.6921735041663497,-0.6217609596725636,1.3139344638389132,3.856226921081543,True,
3,5,0.1,0.18,1345,941,404,18,0.9529702970297029,0.9715025906735751,0.04455445544554455,0.6921735041663497,-0.6217609596725636,1.3139344638389132,3.9397895336151123,True,
3,5,0.1,0.2,1345,941,404,18,0.9529702970297029,0.9715025906735751,0.04455445544554455,0.6921735041663497,-0.6217609596725636,1.3139344638389132,5.032167673110962,True,
3,5,0.1,0.24,1345,941,404,18,0.9529702970297029,0.9715025906735751,0.04455445544554455,0.6921735041663497,-0.6217609596725636,1.3139344638389132,5.297813415527344,True,
2,7,0.03,0.15,428,299,129,10,0.9844961240310077,1.0,0.07751937984496124,1.9537963704777623,-2.0677721760109793,4.021568546488742,5.140657901763916,True,
2,7,0.03,0.18,428,299,129,10,0.9844961240310077,1.0,0.07751937984496124,1.9537963704777623,-2.0677721760109793,4.021568546488742,5.28209114074707,True,
2,7,0.03,0.2,428,299,129,10,0.9844961240310077,1.0,0.07751937984496124,1.9537963704777623,-2.0677721760109793,4.021568546488742,5.09999680519104,True,
2,7,0.03,0.24,428,299,129,10,0.9844961240310077,1.0,0.07751937984496124,1.9537963704777623,-2.0677721760109793,4.021568546488742,5.325200796127319,True,
2,7,0.05,0.15,714,499,215,4,0.9906976744186047,0.995260663507109,0.018604651162790697,1.3379321922939433,-1.6038966721381929,2.941828864432136,5.126304388046265,True,
2,7,0.05,0.18,714,499,215,4,0.9906976744186047,0.995260663507109,0.018604651162790697,1.3379321922939433,-1.6038966721381929,2.941828864432136,5.292042016983032,True,
2,7,0.05,0.2,714,499,215,4,0.9906976744186047,0.995260663507109,0.018604651162790697,1.3379321922939433,-1.6038966721381929,2.941828864432136,5.129217863082886,True,
2,7,0.05,0.24,714,499,215,4,0.9906976744186047,0.995260663507109,0.018604651162790697,1.3379321922939433,-1.6038966721381929,2.941828864432136,5.491503000259399,True,
2,7,0.08,0.15,1142,799,343,12,0.967930029154519,0.9879154078549849,0.03498542274052478,1.6213021488751298,-1.1541548765020564,2.775457025377186,5.32059383392334,True,
2,7,0.08,0.18,1142,799,343,12,0.967930029154519,0.9879154078549849,0.03498542274052478,1.6213021488751298,-1.1541548765020564,2.775457025377186,5.495341777801514,True,
2,7,0.08,0.2,1142,799,343,12,0.967930029154519,0.9879154078549849,0.03498542274052478,1.6213021488751298,-1.1541548765020564,2.775457025377186,5.1198015213012695,True,
2,7,0.08,0.24,1142,799,343,12,0.967930029154519,0.9879154078549849,0.03498542274052478,1.6213021488751298,-1.1541548765020564,2.775457025377186,5.239243030548096,True,
2,7,0.1,0.15,1428,999,429,20,0.9743589743589743,0.9926650366748166,0.046620046620046623,1.870892532403875,-1.4390806302563215,3.3099731626601967,5.4321465492248535,True,
2,7,0.1,0.18,1428,999,429,20,0.9743589743589743,0.9926650366748166,0.046620046620046623,1.870892532403875,-1.4390806302563215,3.3099731626601967,5.465770483016968,True,
2,7,0.1,0.2,1428,999,429,20,0.9743589743589743,0.9926650366748166,0.046620046620046623,1.870892532403875,-1.4390806302563215,3.3099731626601967,5.090008735656738,True,
2,7,0.1,0.24,1428,999,429,20,0.9743589743589743,0.9926650366748166,0.046620046620046623,1.870892532403875,-1.4390806302563215,3.3099731626601967,5.37070631980896,True,
