Dataset,M̩todo,Acc s/Rej (%),Acc c/Rej (%),Taxa Rej (%),Tam Pos,Tam Neg,Tam Rej,Tempo (s)
breast_cancer,PEAB,92.40,97.99,12.87,16.9,16.5,25.5,0.0068
breast_cancer,Anchor,92.40,97.99,12.87,2.1,2.5,3.1,0.9213
breast_cancer,MinExp,92.40,97.99,12.87,22.6,21.9,27.0,1.2382
mnist_3_vs_8,PEAB,95.24,95.24,0.00,178.3,135.8,0.0,0.0268
pima_indians_diabetes,PEAB,74.46,82.76,24.68,4.2,4.7,6.2,0.0072
pima_indians_diabetes,Anchor,74.46,82.76,24.68,4.3,2.2,4.1,0.0588
pima_indians_diabetes,MinExp,74.46,82.76,24.68,4.7,4.9,6.3,0.3132
sonar,PEAB,68.25,95.65,63.49,39.6,42.5,42.8,0.0167
sonar,Anchor,68.25,95.65,63.49,2.0,4.5,2.0,1.4411
sonar,MinExp,68.25,95.65,63.49,51.2,52.6,49.2,3.4145
vertebral_column,PEAB,76.34,86.57,27.96,3.6,5.4,5.1,0.0064
vertebral_column,Anchor,76.34,86.57,27.96,1.7,4.9,2.4,0.0504
vertebral_column,MinExp,76.34,86.57,27.96,3.8,5.4,5.1,0.2455
wine,PEAB,66.67,90.70,20.37,5.8,13.0,11.1,0.0066
wine,Anchor,66.67,90.70,20.37,1.0,1.0,1.0,0.0447
wine,MinExp,66.67,90.70,20.37,6.8,10.5,11.1,0.5109
banknote,PEAB,61.41,89.59,11.41,3.7,2.7,4.0,0.0053
banknote,Anchor,61.41,89.59,11.41,1.7,1.0,1.0,0.0264
banknote,MinExp,61.41,89.59,11.41,2.4,2.7,4.0,0.1386
heart_disease,PEAB,85.56,85.71,6.67,5.0,4.9,11.8,0.0055
heart_disease,Anchor,85.56,85.71,6.67,2.3,3.1,2.7,0.0921
heart_disease,MinExp,85.56,85.71,6.67,5.2,4.8,11.8,0.4560
wine_quality,PEAB,86.46,87.89,5.42,11.0,4.0,9.6,0.0053
wine_quality,Anchor,86.46,87.89,5.42,1.0,1.0,1.0,0.0364
wine_quality,MinExp,86.46,87.89,5.42,9.0,5.0,9.6,0.3994
spambase,PEAB,62.27,87.17,9.70,30.3,25.5,55.1,0.0091
spambase,Anchor,62.27,87.17,9.70,4.5,1.1,1.4,0.4656
spambase,MinExp,62.27,87.17,9.70,33.2,28.1,55.2,2.6184
creditcard,PEAB,99.83,99.83,0.00,0.0,7.1,0.0,0.0000
newsgroups,PEAB,85.23,89.54,11.74,973.4,894.9,1990.4,0.3990
mnist,Anchor,95.24,95.24,0.00,2.0,2.0,0.0,213.6376
mnist,MinExp,95.24,95.24,0.00,300.1,230.7,0.0,58.1794
